,srcid,field,root,root-1,sigma,fwhm_snr,PBroad,PCauchy,REH,AdG,JEG,Old Comments,New Comments,final
670,2859,EGS,rubies-egs52-nod-v3,None,0.48063344305429195,2.435161462619861,0.3692229576903107,8.413722389477174e-63,,,,,,
671,37967,UDS,rubies-uds3-nod-v3,rubies-uds1-nod-v3,0.4752793873404974,1.7606213256839525,0.3654121509505636,2.0749081959481796e-31,,,,,,
672,65633,EGS,rubies-egs61-nod-v3,None,0.4747364487299172,4.037260781792126,0.3650251649050532,3.96077686912164e-85,,,,,,N
673,18741,EGS,rubies-egs52-nod-v3,None,0.47333622656411806,1.998257949424073,0.36402667948371675,7.771250582717719e-122,,,,,,
674,68912,EGS,rubies-egs61-nod-v3,None,0.4720335229621699,1.716477406648616,0.36309713917270114,0.037190039003804694,,,,,,
675,56928,UDS,rubies-uds3-nod-v3,None,0.4708523081326717,2.4190968538557365,0.36225379251276424,0.013018136222052109,,,,,,
676,26351,UDS,rubies-uds43-nod-v3,None,0.4704851399123552,1.3978210977383303,0.36199155143413675,1.8329181841460715e-58,,,,,,
677,143967,UDS,rubies-uds22-v4,None,0.4662879475574554,2.4584284679885124,0.35899059541178774,0.008664000677115641,,,,,,
678,38912,EGS,rubies-egs63-nod-v3,None,0.46456544099520436,1.7439541222673531,0.3577573144332337,3.0054520693961834e-45,0.0,,,,,
679,26712,UDS,rubies-uds1-nod-v3,None,0.46081608230178867,1.6900563185251856,0.35506943752962095,1.3392015474571909e-08,,,,,,
680,13060,UDS,rubies-uds43-v4,None,0.458473856152336,2.587069798538427,0.353387958902955,0.23063261655578993,,,,,,
681,63141,EGS,rubies-egs62-nod-v3,None,0.45825548489237,2.9468337385708376,0.353231098508599,0.00047285650835916185,1.0,1.0,1.0,Too low SNr,,
682,25186,UDS,rubies-uds41-nod-v3,None,0.4572863434512473,1.9708612814372448,0.3525347557009514,1.1216393298947076e-84,,,,,,
683,27193,UDS,rubies-uds43-nod-v3,None,0.4572074646940667,1.7121112918606025,0.3524780665281932,7.341553326784361e-21,,,,,,
684,30876,UDS,rubies-uds1-nod-v3,rubies-uds2-nod-v3,0.45276901243792345,2.4301175237806056,0.3492849207362682,5.779207444554719e-06,,,,,,
685,42481,EGS,rubies-egs53-v4,None,0.4515783616179219,2.399770672511499,0.3484272387178309,0.5657842593742712,,,,,,
686,158530,UDS,rubies-uds32-nod-v3,None,0.4501355403512538,1.145175573075426,0.34738728834568966,5.179688883194197e-51,,,,,,
687,165412,UDS,rubies-uds31-nod-v3,None,0.45009604389336894,,0.34735881075380853,1.5761577121349452e-24,,,,,,
