,srcid,field,root,root-1,sigma,PBroad,PCauchy,REH,AdG,JEG,Comments,final
571,28198,EGS,rubies-egs51-nod-v3,,0.6974558013198704,0.5144824094974975,0.0132779993180179,,,,,
572,40508,EGS,rubies-egs52-nod-v3,,0.695920371480153,0.5135213011966292,6.965145115949918e-20,,,,,
573,30902,UDS,rubies-uds41-v4,,0.6953837693745212,0.5131851706548779,0.1122540575286262,,,,,
574,17151,EGS,rubies-egs51-nod-v3,,0.6938622046796217,0.5122313720536976,1.3426742070045228e-75,,,,,
575,22006,UDS,rubies-uds42-nod-v3,rubies-uds41-nod-v3,0.6908833644239687,0.5103611587934328,0.4035048490885144,,,,,
576,21493,UDS,rubies-uds42-nod-v3,,0.6898265509216799,0.5096967303623693,2.1754282140055887e-14,,,,,
577,27507,EGS,rubies-egs51-nod-v3,,0.6870757847507633,0.5079650271210321,0.2919358766439513,,,,,
578,38912,EGS,rubies-egs63-nod-v3,,0.6844970074426536,0.506338621588446,3.5870492713369944e-45,0.0,,,,
579,171566,UDS,rubies-uds31-nod-v3,,0.6818257258912686,0.5046508448872655,2.5691052475581195e-10,,,,,
580,170107,UDS,rubies-uds31-v4,,0.6817115251665621,0.5045786216340438,0.2421842042245918,,,,,
581,159167,UDS,rubies-uds22-nod-v3,,0.6720149464763865,0.49842581884851,6.810726869015233e-24,,,,,
582,56600,EGS,rubies-egs61-nod-v3,,0.6706291783403624,0.497543210263809,4.174362905342712e-20,,,,,
583,49763,EGS,rubies-egs53-nod-v3,,0.669625117709782,0.4969032019834023,3.4888062634026797e-134,,,,,
584,54857,EGS,rubies-egs63-nod-v3,,0.6683651112087335,0.4960994397155373,1.813425895719485e-07,,,,,
585,26115,UDS,rubies-uds41-v4,,0.6681286147762783,0.4959485023679343,6.889580009143277e-05,,,,,
586,-100,UDS,rubies-uds2-nod-v3,,0.6680969089484091,0.4959282651815019,2.2553119843283856e-19,,,,,
587,19958,UDS,rubies-uds1-nod-v3,,0.6679414454093231,0.4958290297557424,1.4212053144030118e-162,,,,,
588,19245,UDS,rubies-uds41-nod-v3,,0.6663591834412633,0.4948184549666942,5.907478335402946e-264,,,,,
589,32282,UDS,rubies-uds41-nod-v3,,0.6634862374669339,0.492980809112736,6.571312045950396e-20,,,,,
590,36208,UDS,rubies-uds2-v4,,0.6620196265141416,0.4920413564645993,0.0364931972257565,0.0,,,prism only,
591,44597,EGS,rubies-egs61-nod-v3,,0.6583262240961449,0.4896714694549765,0.0,,,,,
592,166714,UDS,rubies-uds31-nod-v3,,0.6564318951131002,0.4884537258701744,0.0032785061205781,,,,,
593,32218,UDS,rubies-uds41-nod-v3,,0.6530343768189547,0.4862658834005862,0.1904180567373156,,,,,
594,61981,UDS,rubies-uds3-nod-v3,,0.6435828855183926,0.4801540488146603,4.105491298139315e-65,,,,,
595,174096,UDS,rubies-uds31-v4,,0.6421149464494845,0.4792014480106311,0.1011913580672027,2.0,1.0,,,
596,35826,UDS,rubies-uds42-nod-v3,,0.6418572712308628,0.4790341401632193,0.0049803291624698,,,,,
